English,Positiv,Komparativ,Superlativ
big,stor,større,størst
small,lille,mindre,mindst
good,god,bedre,bedst
bad,dårlig,værre,værst
long,lang,længere,længst
short,kort,kortere,kortest
tall/high,høj,højere,højest
low/short,lav,lavere,lavest
new,ny,nyere,nyest
old,gammel,ældre,ældst
beautiful,smuk,smukkere,smukkest
ugly,grim,grimmere,grimmest
rich,rig,rigere,rigest
poor,fattig,fattigere,fattigst
warm,varm,varmere,varmest
cold,kold,koldere,koldest
fast,hurtig,hurtigere,hurtigst
slow,langsom,langsommere,langsomst
difficult,svær,sværere,sværest
easy,nem,nemmere,nemmest
thick,tyk,tykkere,tykkest
thin,tynd,tyndere,tyndest
wide,bred,bredere,bredest
narrow,smal,smalere,smalest
dark,mørk,mørkere,mørkest
light/bright,lys,lysere,lystest
friendly,venlig,venligere,venligst
unfriendly,uvenlig,uvenligere,uvenligst
clever/smart,klog,klogere,klogest
stupid,dum,dummere,dummest
clean,ren,renere,renest
dirty,beskidt,mere beskidt,mest beskidt
sweet/cute,sød,sødere,sødest
sour/grumpy,sur,surere,surest
tired,træt,trættere,trættest
fresh,frisk,friskere,friskest
young,ung,yngre,yngst
soft,blød,blødere,blødest
hard,hård,hårdere,hårdest
deep,dyb,dybere,dybest
flat,flad,fladere,fladest
well/healthy,rask,raskere,raskest
sick,syg,sygere,sygest
calm,rolig,roligere,roligst
restless/anxious,urolig,uroligere,uroligst
open,åben,mere åben,mest åben
closed,lukket,mere lukket,mest lukket
dry,tør,tørrere,tørrest
wet,våd,vådere,vådest
clear/ready,klar,klarere,klarest
unclear,uklar,uklarere,uklarest
funny,sjov,sjovere,sjovest
boring,kedelig,mere kedelig,mest kedelig
dangerous,farlig,farligere,farligst
safe/certain,sikker,sikrere,sikrest
cheap,billig,billigere,billigst
expensive,dyr,dyrere,dyrest
heavy,tung,tungere,tungest
light (weight)/easy,let,lettere,lettest
happy,glad,gladere,gladest
unhappy,ulykkelig,mere ulykkelig,mest ulykkelig
sad,trist,tristere,tristest
full (not hungry),mæt,mere mæt,mest mæt
hungry,sulten,mere sulten,mest sulten
thirsty,tørstig,mere tørstig,mest tørstig
sly,snedig,snedigere,snedigst
hard-working,flittig,flittigere,flittigst
lazy,doven,dovenere,dovenest
busy,travl,travlere,travlest
free,fri,friere,friest
mild,mild,mildere,mildest
strict,streng,strengere,strengest
hostile,fjendtlig,mere fjendtlig,mest fjendtlig
natural,naturlig,mere naturlig,mest naturlig
artificial,kunstig,mere kunstig,mest kunstig
brave,modig,modigere,modigst
cowardly,fej,mere fej,mest fej
honest,ærlig,mere ærlig,mest ærlig
dishonest,uærlig,mere uærlig,mest uærlig
fair,retfærdig,mere retfærdig,mest retfærdig
unfair,uretfærdig,mere uretfærdig,mest uretfærdig
patient,tålmodig,mere tålmodig,mest tålmodig
impatient,utålmodig,mere utålmodig,mest utålmodig
precise,præcis,mere præcis,mest præcis
imprecise,upræcis,mere upræcis,mest upræcis
lively,livlig,livligere,livligst
strong,stærk,stærkere,stærkest
weak,svag,svagere,svagest
kind/nice,rar,rarere,rarest
pretty/neat,pæn,pænere,pænest
close/dense,tæt,tættere,tættest
far/distant,fjern,fjernere,fjernest
near,nær,nærmere,nærmest
popular,populær,mere populær,mest populær
famous,berømt,mere berømt,mest berømt
common/ordinary,almindelig,mere almindelig,mest almindelig
special,særlig,mere særlig,mest særlig
important,vigtig,vigtigere,vigtigst
possible,mulig,mere mulig,mest mulig
necessary,nødvendig,mere nødvendig,mest nødvendig