English,Navneform,Ental Ubestemt,Ental Bestemt,Flertal Ubestemt,Flertal Bestemt
adventure,eventyr,et eventyr,eventyret,eventyr,eventyrerne
advice/council,råd,et råd,rådet,råd,rådene
animal,dyr,et dyr,dyret,dyr,dyrene
berries,bær,et bær,bæret,bær,bærene
book,bog,en bog,bogen,bøger,bøgerne
bread,brød,et brød,brødet,brød,brødene
brother,bror,en bror,broren,brødre,brødrene
ceiling,loft,et loft,loftet,lofter,lofterne
child,barn,et barn,barnet,børn,børnene
compendium,kompendium,et kompendium,kompendiet,kompendier,kompendierne
cow,ko,en ko,koen,køer,køerne
daughter,datter,en datter,datteren,døtre,døtrene
duck,and,en and,anden,ænder,ænderne
egg,æg,et æg,ægget,æg,æggene
exam,eksamen,en eksamen,eksamenen,eksamener,eksamenerne
farmer,bonde,en bonde,bonden,bønder,bønderne
father,far,en far,faren,fædre,fædrene
finger,finger,en finger,fingeren,fingre,fingrene
fish,fisk,en fisk,fisken,fisk,fiskene
foot,fod,en fod,foden,fødder,fødderne
fork,gaffel,en gaffel,gaflen,gafler,gaflerne
friend,ven,en ven,vennen,venner,vennerne
glass,glas,et glas,glasset,glas,glassene
goal,mål,et mål,målet,mål,målene
goose,gås,en gås,gåsen,gæs,gæssene
hand,hånd,en hånd,hånden,hænder,hænderne
head,hoved,et hoved,hovedet,hoveder,hovederne
hen,høne,en høne,hønen,høns,hønsene
hug,kram,et kram,krammet,kram,krammene
jump,spring,et spring,springet,spring,springene
knee,knæ,et knæ,knæet,knæ,knæene
leg,ben,et ben,benet,ben,benene
lice,lus,en lus,lusen,lus,lusene
loss,tab,et tab,tabet,tab,tabene
man,mand,en mand,manden,mænd,mændene
mother,mor,en mor,moren,mødre,mødrene
mouse,mus,en mus,musen,mus,musene
movie,film,en film,filmen,film,filmene
mug,krus,et krus,kruset,krus,krusene
museum,museum,et museum,museet,museer,museerne
night,nat,en nat,natten,nætter,nætterne
offer,tilbud,et tilbud,tilbuddet,tilbud,tilbuddene
onion,løg,et løg,løget,løg,løgene
purchase,indkøb,et indkøb,indkøbet,indkøb,indkøbene
question,spørgsmål,et spørgsmål,spørgsmålet,spørgsmål,spørgsmålene
race,løb,et løb,løbet,løb,løbene
relationship,forhold,et forhold,forholdet,forhold,forholdene
root,rod,en rod,roden,rødder,rødderne
rope,reb,et reb,rebet,reb,rebene
sheep,får,et får,fåret,får,fårene
shoe,sko,en sko,skoen,sko,skoene
sister,søster,en søster,søsteren,søstre,søstrene
toe,tå,en tå,tåen,tæer,tæerne
tooth,tand,en tand,tanden,tænder,tænderne
tree,træ,et træ,træet,træer,træerne
trick,kneb,et kneb,knebet,kneb,knebene
word,ord,et ord,ordet,ord,ordene
year,år,et år,året,år,årene