English,Bydeform,Navneform,Nutid,Datid,Perfektum
to open,åbn,at åbne,åbner,åbnede,åbnet
to change,ændr,at ændre,ændrer,ændrede,ændret
to work,arbejd,at arbejde,arbejder,arbejdede,arbejdet
to carry,bær,at bære,bærer,bar,båret
to begin,begynd,at begynde,begynder,begyndte,begyndt
to need,behøv,at behøve,behøver,behøvede,behøvet
to decide,beslutt,at beslutte,beslutter,besluttede,besluttet
to pay,betal,at betale,betaler,betalte,betalt
to become,bliv,at blive,bliver,blev,blevet
to live,bo,at bo,bor,boede,boet
to bring,bring,at bringe,bringer,bragte,bragt
to use,brug,at bruge,bruger,brugte,brugt
to break,bryd,at bryde,bryder,brød,brudt
to build,bygg,at bygge,bygger,byggede,bygget
to die,dø,at dø,dør,døde,død
to drink,drikk,at drikke,drikker,drak,drukket
to love,elsk,at elske,elsker,elskede,elsket
to get/receive,få,at få,får,fik,fået
to fall,fald,at falde,falder,faldt,faldet
to find,find,at finde,finder,fandt,fundet
to move,flytt,at flytte,flytter,flyttede,flyttet
to feel,føl,at føle,føler,følte,følt
to follow,følg,at følge,følger,fulgte,fulgt
to stay/remain,forbliv,at forblive,forbliver,forblev,forblevet
to explain,forklar,at forklare,forklarer,forklarede,forklaret
to understand,forstå,at forstå,forstår,forstod,forstået
to wait/expect,forvent,at forvente,forventer,forventede,forventet
to go,gå,at gå,går,gik,gået
to give,giv,at give,giver,gav,givet
to forget,glemm,at glemme,glemmer,glemte,glemt
to do/make,gør,at gøre,gør,gjorde,gjort
to cry,græd,at græde,græder,græd,grædt
to laugh,grin,at grine,griner,grinede,grinet
to hope,håb,at håbe,håber,håbede,håbet
to have,hav,at have,har,havde,haft
to help,hjælp,at hjælpe,hjælper,hjalp,hjulpet
to hold,hold,at holde,holder,holdt,holdt
to hear,hør,at høre,hører,hørte,hørt
to remember,husk,at huske,husker,huskede,husket
to call (name),kald,at kalde,kalder,kaldte,kaldt
to know (be acquainted),kend,at kende,kender,kendte,kendt
to look/watch,kigg,at kigge,kigger,kiggede,kigget
to buy,køb,at købe,køber,købte,købt
to come,kom,at komme,kommer,kom,kommet
to drive,kør,at køre,kører,kørte,kørt
to can/be able,kun,at kunne,kan,kunne,kunnet
to cut,klipp,at klippe,klipper,klippede,klippet
to let/allow,lad,at lade,lader,lod,ladet
to learn,lær,at lære,lærer,lærte,lært
to read,læs,at læse,læser,læste,læst
to cook,lav,at lave,laver,lavede,lavet
to play,leg,at lege,leger,legede,leget
to lie (position),ligg,at ligge,ligger,lå,ligget
to run,løb,at løbe,løber,løb,løbet
to close,lukk,at lukke,lukker,lukkede,lukket
to listen,lytt,at lytte,lytter,lyttede,lyttet
to must,må,at måtte,må,måtte,måttet
to mean,men,at mene,mener,mente,ment
to meet,mød,at møde,møder,mødte,mødt
to feel,mærk,at mærke,mærker,mærkede,mærket
to receive,modtag,at modtage,modtager,modtog,modtaget
to try,prøv,at prøve,prøver,prøvede,prøvet
to travel,rejs,at rejse,rejser,rejste,rejst
to mix,rør,at røre,rører,rørte,rørt
to send back/return,returner,at returnere,returnerer,returnerede,returneret
to call (on phone),ring,at ringe,ringer,ringede,ringet
to sell,sælg,at sælge,sælger,solgte,solgt
to put/place,sætt,at sætte,sætter,satte,sat
to see,se,at se,ser,så,set
to send,send,at sende,sender,sendte,sendt
to sit,sidd,at sidde,sidder,sad,siddet
to say,sig,at sige,siger,sagde,sagt
to create,skab,at skabe,skaber,skabte,skabt
to cut,skær,at skære,skærer,skar,skåret
to write,skriv,at skrive,skriver,skrev,skrevet
to push,skubb,at skubbe,skubber,skubbede,skubbet
to shall/should,skal,at skulle,skal,skulle,skullet
to end/finish,slutt,at slutte,slutter,sluttede,sluttet
to smile,smil,at smile,smiler,smilede,smilet
to sleep,sov,at sove,sover,sov,sovet
to walk,spadser,at spadsere,spadserer,spadserede,spadseret
to play (music/sport),spill,at spille,spiller,spillede,spillet
to eat,spis,at spise,spiser,spiste,spist
to hit,slå,at slå,slår,slog,slået
to stand,stå,at stå,står,stod,stået
to study,studer,at studere,studerer,studerede,studeret
to talk,snakk,at snakke,snakker,snakkede,snakket
to swim,svømm,at svømme,svømmer,svømmede,svømmet
to sing,syng,at synge,synger,sang,sunget
to lose,tab,at tabe,taber,tabte,tabt
to think,tænk,at tænke,tænker,tænkte,tænkt
to take,tag,at tage,tager,tog,taget
to speak,tal,at tale,taler,talte,talt
to pull,trækk,at trække,trækker,trak,trukket
to need,træng,at trænge,trænger,trængte,trængt
to believe,tro,at tro,tror,trodde,troet
to teach,undervis,at undervise,underviser,underviste,undervist
to choose,vælg,at vælge,vælger,valgte,valgt
to be,vær,at være,er,var,været
to wash,vask,at vaske,vasker,vaskede,vasket
to wait,vent,at vente,venter,ventede,ventet
to know (a fact),vid,at vide,ved,vidste,vidst
to want,vil,at ville,vil,ville,villet
to win,vind,at vinde,vinder,vandt,vundet
to show,vis,at vise,viser,viste,vist
to grow,voks,at vokse,vokser,voksede,vokset