English,Bydeform,Navneform,Nutid,Datid,Perfektum
to open,åbn,at åbne,åbner,åbnede,åbnet
to change,ændr,at ændre,ændrer,ændrede,ændret
to work,arbejd,at arbejde,arbejder,arbejdede,arbejdet
to need,behøv,at behøve,behøver,behøvede,behøvet
to decide,beslutt,at beslutte,beslutter,besluttede,besluttet
to live,bo,at bo,bor,boede,boet
to build,bygg,at bygge,bygger,byggede,bygget
to love,elsk,at elske,elsker,elskede,elsket
to move,flytt,at flytte,flytter,flyttede,flyttet
to explain,forklar,at forklare,forklarer,forklarede,forklaret