English,Navneform,Ental Ubestemt,Ental Bestemt,Flertal Ubestemt,Flertal Bestemt
bag,taske,en taske,tasken,tasker,taskerne
basket,kurv,en kurv,kurven,kurve,kurvene
bicycle,cykel,en cykel,cyklen,cykler,cyklerne
boy,dreng,en dreng,drengen,drenge,drengene
broom,kost,en kost,kosten,koste,kostene
cafe,cafe,en cafe,cafeen,cafeer,cafeerne
candlestick,lysestage,en lysestage,lysestagen,lysestager,lysestagerne
car,bil,en bil,bilen,biler,bilerne
cat,kat,en kat,katten,katte,kattene
city,by,en by,byen,byer,byerne
day,dag,en dag,dagen,dage,dagene
dog,hund,en hund,hunden,hunde,hundene
ear,øre,et øre,øret,ører,ørerne
floor,gulv,et gulv,gulvet,gulve,gulvene
flower,blomst,en blomst,blomsten,blomster,blomsterne
girl,pige,en pige,pigen,piger,pigerne
house,hus,et hus,huset,huse,husene
jacket,jakke,en jakke,jakken,jakker,jakkerne
lamp,lampe,en lampe,lampen,lamper,lamperne
letter,bogstav,et bogstav,bogstavet,bogstaver,bogstaverne
newspaper,avis,en avis,avisen,aviser,aviserne
phone,telefon,en telefon,telefonen,telefoner,telefonerne
place,sted,et sted,stedet,steder,stederne
plant,plante,en plante,planten,planter,planterne
restaurant,restaurant,en restaurant,restauranten,restauranter,restauranterne
rooster,hane,en hane,hanen,haner,hanerne
school,skole,en skole,skolen,skoler,skolerne
street,gade,en gade,gaden,gader,gaderne
table,bord,et bord,bordet,borde,bordene
teacher,lærer,en lærer,læreren,lærere,lærerne
tree,træ,et træ,træet,træer,træerne
week,uge,en uge,ugen,uger,ugerne
window,vindue,et vindue,vinduet,vinduer,vinduerne
wish,ønsk,et ønsk,ønsket,ønsker,ønskerne